script,execution_family,staged_path,declared_cli_arguments,execution_status,instruction
analysis/tcr/analyze_TCR_evidence.py,original_v1,00_scripts/analyze_TCR_evidence.py,project_dir,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/clinical/analyze_TWEAK_SORL1_axis.py,original_v1,00_scripts/analyze_TWEAK_SORL1_axis.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/programmes/analyze_cross_organ_receiver_programs.py,original_v1,00_scripts/analyze_cross_organ_receiver_programs.py,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/clinical/audit_icb_guardrail_inputs.R,original_v1,00_scripts/audit_icb_guardrail_inputs.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
analysis/historical_selection/audit_organoid_offtarget_pathways.R,original_v1,00_scripts/audit_organoid_offtarget_pathways.R,,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/patients/build_core_sample_inventory.py,original_v1,00_scripts/build_core_sample_inventory.py,--project,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/downloads/build_download_manifest.py,original_v1,00_scripts/build_download_manifest.py,--project,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
plotting/tables/historical/build_final_synthesis_tables.py,original_v1,00_scripts/build_final_synthesis_tables.py,project_dir,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/patients/build_h5ad_pseudobulk.py,original_v1,00_scripts/build_h5ad_pseudobulk.py,input;output_prefix;--dataset;--organ;--patient-col;--condition-col;--condition-from-sample;--celltype-col;--count-source;--strata-cols;--extra-cols;--chunk-size,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
workflow/recorded_provenance/build_reproducibility_inventory.py,original_v1,00_scripts/build_reproducibility_inventory.py,project_dir,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
data_prep/patients/build_spatial_sample_pseudobulk.py,original_v1,00_scripts/build_spatial_sample_pseudobulk.py,--project,NOT_RUN_SCIENTIFIC_OR_DISPLAY,See RUN_ORDER; top-level legacy files are not safe --help targets
